title,author,isbn13,publisher,description,amazon_product_url,nyt_rank,nyt_rank_last_week,weeks_on_list,price,primary_isbn10,category,extraction_date,goodreads_rating,goodreads_rating_count,goodreads_url
A STUDY IN DROWNING,Ava Reid,9780063419414,HarperTeen,Dark forces try to thwart Preston and Effy's efforts to unravel the mysteries of author Emrys Myrddin's Hiraeth Manor. (Ages 14 and up),https://www.amazon.com/dp/0063211505?tag=thenewyorktim-20,1,0,10,0.00,0063419416,young-adult-hardcover,2024-11-19,3.77,63433.0,https://www.goodreads.com/book/isbn/9780063419414
WHERE THE LIBRARY HIDES,Isabel Ibañez,9781250377166,Wednesday,"In order to access her inheritance, Inez must marry, but is Whit the one? (Ages 13 to 18)",https://www.amazon.com/dp/1250822998?tag=thenewyorktim-20,2,0,1,0.00,None,young-adult-hardcover,2024-11-19,4.15,3405.0,https://www.goodreads.com/book/isbn/9781250377166
IF HE HAD BEEN WITH ME,Laura Nowlin,9781464231025,Sourcebooks Fire,The coming-of-age love story of Autumn and Phineas. (Ages 14 to 18),http://www.amazon.com/If-He-Had-Been-Me-ebook/dp/B00APIVOIE?tag=thenewyorktim-20,3,0,1,0.00,1464231028,young-adult-hardcover,2024-11-19,3.8,436973.0,https://www.goodreads.com/book/isbn/9781464231025
NOTHING LIKE THE MOVIES,Lynn Painter,9781665947138,Simon & Schuster,"In this sequel to ""Better Than the Movies,"" Wes tries to win back the heart of Liz. (Ages 14 and up)",https://www.amazon.com/dp/1665947136?tag=thenewyorktim-20,4,1,6,0.00,1665947136,young-adult-hardcover,2024-11-19,4.03,43024.0,https://www.goodreads.com/book/isbn/9781665947138
LIGHTLARK,Alex Aster,9781419760860,Amulet,Every 100 years the island of Lightlark appears and a deadly competition called the Centennial takes place. (Ages 13 to 18),https://www.amazon.com/dp/1419760866?tag=thenewyorktim-20,5,2,56,0.00,1419760866,young-adult-hardcover,2024-11-19,3.85,183885.0,https://www.goodreads.com/book/isbn/9781419760860
MURTAGH,Christopher Paolini,9780593898000,Knopf,"Murtagh and his dragon, Thorn, must find and outwit a mysterious witch. (Ages 12 to 15)",https://www.amazon.com/dp/0593650867?tag=thenewyorktim-20,6,4,49,0.00,0593898001,young-adult-hardcover,2024-11-19,4.16,32080.0,https://www.goodreads.com/book/isbn/9780593898000
THE GLASS GIRL,Kathleen Glasgow,9780525708087,Delacorte,A teenager named Bella journeys through alcoholism and recovery. (Ages 14 to 18),https://www.amazon.com/dp/0525708081?tag=thenewyorktim-20,7,5,6,0.00,0525708081,young-adult-hardcover,2024-11-19,4.41,2316.0,https://www.goodreads.com/book/isbn/9780525708087
STRANGER SKIES,Pascale Lacelle,9781665970853,Margaret K. McElderry,"In this sequel to ""Curious Tides,"" Emory, Romie, Baz, and Kai find themselves thrust across time and space. (Ages 14 and up)",https://www.amazon.com/dp/1665939303?tag=thenewyorktim-20,8,0,1,0.00,None,young-adult-hardcover,2024-11-19,,,https://www.goodreads.com/book/isbn/9781665970853
DON'T LET THE FOREST IN,CG Drews,9781250388353,Feiwel & Friends,Two boys fight monsters that come from their imaginations in real life. (Ages 13 to 18),https://www.amazon.com/dp/1250895669?tag=thenewyorktim-20,9,3,2,0.00,None,young-adult-hardcover,2024-11-19,,,https://www.goodreads.com/book/isbn/9781250388353
IMMORTAL DARK,Tigest Girma,9780316570381,"Little, Brown","Kidan searches for her abducted sister at the elite Uxlay University, where humans and vampires study to coexist. (Ages 14 to 18)",https://www.amazon.com/dp/0316570389?tag=thenewyorktim-20,10,6,10,0.00,0316570389,young-adult-hardcover,2024-11-19,3.75,7765.0,https://www.goodreads.com/book/isbn/9780316570381
